,CO(mg/m^3),People,Suction Pump
0,0.0750339968710879,0.0,0.0
1,0.0030986480785259035,0.0,0.0
2,0.022322106090412904,0.0,0.0
3,0.06606301556828166,0.0,0.0
4,0.07410158513541912,0.0,0.0
5,0.050855186782574884,0.0,0.0
6,0.012148436325139803,0.0,0.0
7,0.0,0.0,0.0
8,0.011440424767261773,0.0,0.0
9,0.03607254825472366,0.0,0.0
10,0.0,0.0,0.0
11,0.1317166503836958,0.0,0.0
12,0.06099920910076178,0.0,0.0
13,0.11240011434298519,0.0,0.0
14,0.08551158366887227,0.0,0.0
15,0.038520236571113024,0.0,0.0
16,0.027682450187672597,0.0,0.0
17,0.10285270842064581,0.0,0.0
18,0.07314086715864264,0.0,0.0
19,0.0421099332819959,0.0,0.0
20,0.12296179659652622,0.0,0.0
21,0.05495407580258671,0.0,0.0
22,0.0,0.0,0.0
23,0.08933958142255144,0.0,0.0
24,0.033870205545986895,0.0,0.0
25,0.08007557883824046,0.0,0.0
26,0.03382850212534724,0.0,0.0
27,0.06372089072560179,0.0,0.0
28,0.07217827126695503,0.0,0.0
29,0.044051008582130985,0.0,0.0
30,0.016831023308562405,0.0,0.0
31,0.0899014610982155,0.0,0.0
32,0.10722961812781823,0.0,0.0
33,0.133658649813316,0.0,0.0
34,0.0022524191371679006,0.0,0.0
35,0.09364771926148643,0.0,0.0
36,0.029874013169418887,0.0,0.0
37,0.03296256365056541,0.0,0.0
38,0.11212112532051488,0.0,0.0
39,0.09139294601031536,0.0,0.0
40,0.021058600098696346,0.0,0.0
41,0.030627907818209014,0.0,0.0
42,0.07857033059194352,0.0,0.0
43,0.0943907952520357,0.0,0.0
44,0.12646091146141225,0.0,0.0
45,0.036249168265236505,0.0,0.0
46,0.09396910802354402,0.0,0.0
47,0.07870112505468686,0.0,0.0
48,0.036113280712410475,0.0,0.0
49,0.04350321640130045,0.0,0.0
50,0.052671711443541776,0.0,0.0
51,0.03633508825562759,0.0,0.0
52,0.09856916753836004,0.0,0.0
53,0.06987369063847323,0.0,0.0
54,0.009093421269522353,0.0,0.0
55,0.03005400984164537,0.0,0.0
56,0.055519865137001745,0.0,0.0
57,0.08149235845444794,0.0,0.0
58,0.06438942246847983,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.06919733555862166,0.0,0.0
62,0.04945350124290374,0.0,0.0
63,0.09261234889649528,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.016837410663953667,0.0,0.0
67,0.0,0.0,0.0
68,0.021347950686629577,0.0,0.0
69,0.00041273114856595766,0.0,0.0
70,0.1406116554488302,0.0,0.0
71,0.009707795306190793,0.0,0.0
72,0.11563521846521199,0.0,0.0
73,0.1330187070140602,0.0,0.0
74,0.07176146159773274,0.0,0.0
75,0.0,0.0,0.0
76,0.06545298480199646,0.0,0.0
77,0.056855978542997065,0.0,0.0
78,0.05875665484371647,0.0,0.0
79,0.0,0.0,0.0
80,0.11087435326683448,0.0,0.0
81,0.09962860824613956,0.0,0.0
82,0.009807099267698578,0.0,0.0
83,0.10544627717243972,0.0,0.0
84,0.08014461601692958,0.0,0.0
85,0.06321990969153643,0.0,0.0
86,0.06639923238843413,0.0,0.0
87,0.0,0.0,0.0
88,0.11271761819394809,0.0,0.0
89,0.1037725859131357,0.0,0.0
90,0.09263952709906118,0.0,0.0
91,0.12374404132087553,0.0,0.0
92,0.0,0.0,0.0
93,0.09859251296221147,0.0,0.0
94,0.09271922447420779,0.0,0.0
95,0.15440644520438743,0.0,0.0
96,0.07420689028961894,0.0,0.0
97,0.09531966785052046,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.15852430309019472,0.0,0.0
102,0.005741276059144221,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.04104708225892137,0.0,0.0
108,0.02609464338521801,0.0,0.0
109,0.07008438993295096,0.0,0.0
110,0.019214789944241157,0.0,0.0
111,0.10087627553996056,0.0,0.0
112,0.0,0.0,0.0
113,0.04895366119156512,0.0,0.0
114,0.10010014809817773,0.0,0.0
115,0.09375143664388427,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.09365523414213942,0.0,0.0
119,0.09958101965180334,0.0,0.0
120,0.0,0.0,0.0
121,0.0684693821922594,0.0,0.0
122,0.10645207498737183,0.0,0.0
123,0.07641833071645637,0.0,0.0
124,0.15688112892328301,0.0,0.0
125,0.0,0.0,0.0
